982,609,0,1430524498
985,615,0,1430524498
1235,653,1,1430524498
1405,625,2,1430524498
1504,394,3,1430524498
1245,135,4,1430524498
1238,135,4,1430524498
1231,135,4,1430524498
1494,389,3,1430524498
1224,135,4,1430524498
1399,617,2,1430524498
1488,386,3,1430524498
1215,135,4,1430524498
1395,613,2,1430524498
1483,383,3,1430524498
1208,136,4,1430524498
1385,605,2,1430524498
1467,378,3,1430524498
1187,139,4,1430524498
971,619,0,1430524498
1230,646,1,1430524498
1378,600,2,1430524498
1458,376,3,1430524498
1176,141,4,1430524498
938,631,0,1430524498
1209,635,1,1430524498
1355,590,2,1430524498
1427,372,3,1430524498
1137,149,4,1430524498
897,640,0,1430524498
1173,633,1,1430524498
1318,586,2,1430524498
1387,376,3,1430524498
1094,161,4,1430524498
859,651,0,1430524498
1145,635,1,1430524498
1293,587,2,1430524498
1360,380,3,1430524498
1062,170,4,1430524498
822,662,0,1430524498
1114,640,1,1430524498
1264,592,2,1430524498
1330,386,3,1430524498
1029,179,4,1430524498
767,674,0,1430524498
1068,648,1,1430524498
1217,600,2,1430524498
1283,396,3,1430524498
976,197,4,1430524498
716,684,0,1430524498
1010,663,1,1430524498
1163,613,2,1430524498
1231,411,3,1430524498
924,214,4,1430524498
686,686,0,1430524498
971,672,1,1430524498
1126,622,2,1430524498
1197,422,3,1430524498
890,227,4,1430524498
641,687,0,1430524498
922,684,1,1430524498
1076,636,2,1430524498
1147,441,3,1430524498
846,241,4,1430524498
610,688,0,1430524498
889,691,1,1430524498
1041,642,2,1430524498
1112,452,3,1430524498
818,252,4,1430524498
579,687,0,1430524498
854,696,1,1430524498
1007,650,2,1430524498
1079,464,3,1430524498
791,258,4,1430524498
534,682,0,1430524498
806,703,1,1430524498
956,661,2,1430524498
1033,477,3,1430524498
752,266,4,1430524498
510,676,0,1430524498
776,705,1,1430524498
929,665,2,1430524498
1007,484,3,1430524498
729,269,4,1430524498
474,666,0,1430524498
742,703,1,1430524498
892,666,2,1430524498
973,489,3,1430524498
703,266,4,1430524498
454,658,0,1430524498
722,699,1,1430524498
872,665,2,1430524499
955,489,3,1430524499
691,263,4,1430524499
425,643,0,1430524499
694,691,1,1430524499
841,660,2,1430524499
930,486,3,1430524499
674,254,4,1430524499
404,630,0,1430524499
674,680,1,1430524499
821,655,2,1430524499
913,482,3,1430524499
662,247,4,1430524499
376,607,0,1430524499
646,663,1,1430524499
790,643,2,1430524499
886,471,3,1430524499
642,234,4,1430524499
360,590,0,1430524499
627,648,1,1430524499
770,632,2,1430524499
867,462,3,1430524499
625,222,4,1430524499
334,559,0,1430524499
599,624,1,1430524499
743,612,2,1430524499
838,444,3,1430524499
602,202,4,1430524499
320,540,0,1430524499
582,608,1,1430524499
725,595,2,1430524499
822,431,3,1430524499
585,187,4,1430524499
300,511,0,1430524499
559,580,1,1430524499
698,569,2,1430524499
796,406,3,1430524499
561,163,4,1430524499
290,493,0,1430524499
542,558,1,1430524499
680,548,2,1430524499
775,385,3,1430524499
545,146,4,1430524499
277,470,0,1430524499
526,536,1,1430524499
661,527,2,1430524499
752,364,3,1430524499
517,130,4,1430524499
272,462,0,1430524499
518,525,1,1430524499
650,517,2,1430524499
738,352,3,1430524499
517,130,4,1430524499
264,450,0,1430524499
509,515,1,1430524499
640,506,2,1430524499
725,343,3,1430524499
256,440,0,1430524499
498,504,1,1430524499
628,496,2,1430524499
708,334,3,1430524499
206,402,0,1430524499
438,465,1,1430524499
560,464,2,1430524499
633,307,3,1430524499
187,395,0,1430524499
416,457,1,1430524499
536,459,2,1430524499
606,304,3,1430524499
170,386,0,1430524499
390,448,1,1430524499
536,459,2,1430524499
606,304,3,1430524499
170,386,0,1430524499
390,448,1,1430524499
